date	cad_us	aud_us	cny_us	eur_us	jpy_us
19900102	0.5209446523	0.4898973701	0.9997687482	0.4630567459	0.0817068559
19900103	0.520785095	0.4844451572	0.9997687482	0.4551356967	0.0900299515
19900104	0.5193503162	0.4950288647	0.9997687482	0.4926632905	0.103868338
19900105	0.519987721	0.4878127004	0.9997687482	0.4820153227	0.0956573738
19900108	0.5211042371	0.4908595253	0.9997687482	0.5049993507	0.0984256905
19900109	0.5203065882	0.4908595253	0.9997687482	0.4988962472	0.0913966316
19900110	0.5241415838	0.4966324567	0.9997687482	0.4947409427	0.0877831323
19900111	0.5278317317	0.500801796	0.9997687482	0.4956499156	0.0893480208
19900112	0.5257441935	0.5020846697	0.9997687482	0.4914946111	0.087104286
19900115	0.5144252789	0.5006414368	0.9997687482	0.4852616543	0.0872399808
19900116	0.5153764641	0.4996792816	0.9997687482	0.486560187	0.0898934903
19900117	0.5126839832	0.5022450289	0.9997687482	0.490455785	0.0897570667
19900118	0.5027740925	0.5057729314	0.9997687482	0.4694195559	0.0835892429
19900119	0.4844965807	0.5046504169	0.9997687482	0.4705882353	0.0858170402
19900122	0.490651375	0.5072161642	0.9997687482	0.4603298273	0.081975328
19900123	0.4909602107	0.4696921103	0.9997687482	0.4860407739	0.0865618791
19900124	0.4818933733	0.4557408595	0.9997687482	0.490455785	0.0879190134
19900125	0.4768613473	0.4510904426	0.9997687482	0.4946110895	0.1003030058
19900126	0.4659787931	0.4499679282	0.9997687482	0.4943513829	0.1076004638
19900129	0.4768613473	0.456863374	0.9997687482	0.5029216985	0.1068941708
19900130	0.4780786647	0.4611930725	0.9997687482	0.5042202311	0.0935911698
19900131	0.4786879385	0.4682488775	0.9997687482	0.4950006493	0.0963480156
19900201	0.4800603067	0.4690506735	0.9997687482	0.5046097909	0.0929729765
19900202	0.4757975382	0.4730596536	0.9997687482	0.5004544864	0.0884629111
19900205	0.4783832503	0.4602309173	0.9997687482	0.5213608622	0.0939349425
19900206	0.4783832503	0.4560615779	0.9997687482	0.5220101286	0.090849508
19900207	0.4688378287	0.4449967928	0.9997687482	0.5191533567	0.0886670269
19900208	0.4656783705	0.4406670943	0.9997687482	0.5131801065	0.0905078616
19900209	0.4565635051	0.4321680564	0.9997687482	0.5122711336	0.0942789528
19900212	0.4584982519	0.4414688903	0.9997687482	0.507077003	0.0973165222
19900213	0.4574559449	0.431045542	0.9997687482	0.5065575899	0.0973857732
19900214	0.4472463985	0.4233483002	0.9997687482	0.5052590573	0.0957954257
19900215	0.4543362988	0.4385824246	0.9997687482	0.4898065186	0.0934537271
19900216	0.4583492765	0.4467607441	0.9997687482	0.5083755356	0.0994677743
19900219	0.4602878942	0.4520525978	0.9997687482	0.5065575899	0.0951744928
19900220	0.4605865161	0.4491661321	0.9997687482	0.5159070251	0.0913282082
19900221	0.4622307186	0.4616741501	0.9997687482	0.5130502532	0.0887350841
19900222	0.4671814894	0.4555805003	0.9997687482	0.5155174653	0.0833198895
19900223	0.4616324776	0.4597498396	0.9997687482	0.5085053889	0.0783632746
19900226	0.4646276821	0.4600705581	0.9997687482	0.5004544864	0.0684675338
19900227	0.4682351704	0.4490057729	0.9997687482	0.4972081548	0.067684498
19900228	0.4729163593	0.4504490058	0.9997687482	0.4850019478	0.0654078444
19900301	0.4735221591	0.4573444516	0.9997687482	0.4734450071	0.0601797958
19900302	0.4707992602	0.4502886466	0.9997687482	0.4726658875	0.0571720629
19900305	0.4761013559	0.4486850545	0.9997687482	0.4872094533	0.0655376509
19900306	0.4802129206	0.4536561899	0.9997687482	0.4827944423	0.0590897173
19900307	0.4860313756	0.4493264913	0.9997687482	0.489027399	0.0574273079
19900308	0.4889546489	0.452212957	0.9997687482	0.484612388	0.052284933
19900309	0.4894170788	0.4488454137	0.9997687482	0.4795481106	0.0512756683
19900312	0.4929701989	0.4472418217	0.9997687482	0.4701986755	0.0417930723
19900313	0.4968480564	0.4563822963	0.9997687482	0.471886768	0.0461988529
19900314	0.5004302818	0.4563822963	0.9997687482	0.4734450071	0.046011861
19900315	0.4886464929	0.444355356	0.9997687482	0.4852616543	0.0465730581
19900316	0.4848033321	0.4403463759	0.9997687482	0.4840929749	0.0429061519
19900319	0.4871072774	0.444355356	0.9997687482	0.4931827035	0.0405593888
19900320	0.4929701989	0.4445157152	0.9997687482	0.4764316323	0.0324972769
19900321	0.4918873466	0.4358563182	0.9997687482	0.4712375016	0.0306841763
19900322	0.4956053486	0.4385824246	0.9997687482	0.4798078172	0.0285777645
19900323	0.4971589977	0.4297626684	0.9997687482	0.4729255941	0.032618401
19900326	0.4948295143	0.4278383579	0.9997687482	0.4792884041	0.018186832
19900327	0.4948295143	0.4267158435	0.9997687482	0.4761719257	0.011773337
19900328	0.4971589977	0.4296023092	0.9997687482	0.4786391378	0.0071648482
19900329	0.5027740925	0.438101347	0.9997687482	0.4934424101	0.0204233767
19900330	0.5057515482	0.442751764	0.9997687482	0.492403584	0.0076809812
19900402	0.509999346	0.4493264913	1	0.4863004805	0.0039095584
19900403	0.5093688029	0.4504490058	1	0.490455785	5.64192643962569E-05
19900404	0.5093688029	0.4595894804	0.9997687482	0.4887676925	0.0048209681
19900405	0.5057515482	0.459268762	0.9997687482	0.4887676925	0.0143279766
19900406	0.5144252789	0.4591084028	0.9997687482	0.4927931437	0.012642635
19900409	0.5190317785	0.4552597819	0.9997687482	0.4951305025	0.0094632672
19900410	0.5214234892	0.4573444516	0.9997687482	0.5112323075	0.0121788037
19900411	0.5153764641	0.4602309173	0.9997687482	0.5127905467	0.0104436181
19900412	0.5179177598	0.4616741501	0.9997687482	0.5122711336	0.0098666859
19900413	0.514108435	0.4587876844	0.9997687482	0.5112323075	0.0067638162
19900416	0.5084237979	0.459268762	0.9997687482	0.5061680301	0.0028864098
19900417	0.5136333731	0.4600705581	0.9997687482	0.5066874432	0
19900418	0.5174407339	0.4650416934	0.9997687482	0.5112323075	0.0098666859
19900419	0.5175997152	0.4714560616	0.9997687482	0.5056486171	0.01718978
19900420	0.516169868	0.4676074407	0.9997687482	0.4994156603	0.0136298411
19900423	0.518395032	0.4587876844	0.9997687482	0.4900662252	0.0108479053
19900424	0.5217428514	0.4611930725	0.9997687482	0.4912349046	0.0051632198
19900425	0.519987721	0.4559012187	0.9997687482	0.5086352422	0.0056770819
19900426	0.5203065882	0.4384220654	0.9997687482	0.5068172965	0.0035682519
19900427	0.5153764641	0.4353752405	0.9997687482	0.5081158291	0.0035682519
19900430	0.5142668433	0.4366581142	0.9997687482	0.5083755356	0.0055628401
19900501	0.5126839832	0.4254329699	0.9997687482	0.5078561226	0.0062487231
19900502	0.5093688029	0.4390635022	0.9997687482	0.5040903779	0.0099820139
19900503	0.5106303215	0.4432328416	0.9997687482	0.5060381769	0.0096361172
19900504	0.5169639543	0.4408274535	0.9997687482	0.5223996884	0.0095784932
19900507	0.5150592934	0.4448364336	0.9997687482	0.5313595637	0.0096937484
19900508	0.5153764641	0.445157152	0.9997687482	0.5299311778	0.0128747272
19900509	0.5114196495	0.4387427838	0.9997687482	0.5482404882	0.0199516222
19900510	0.5015233138	0.4488454137	0.9997687482	0.5522659395	0.0189507441
19900511	0.4959158671	0.4502886466	0.9997687482	0.5434359174	0.0421019979
19900514	0.4909602107	0.4591084028	0.9997687482	0.5421373848	0.0443943487
19900515	0.4918873466	0.4542976267	0.9997687482	0.5382417868	0.0576188308
19900516	0.4980924568	0.4520525978	0.9997687482	0.5381119335	0.0483858884
19900517	0.4977811978	0.4547787043	0.9997687482	0.5379820802	0.0459495467
19900518	0.4897254959	0.4541372675	0.9997687482	0.5379820802	0.0402514717
19900521	0.4935895497	0.456863374	0.9997687482	0.5266848461	0.0363888836
19900522	0.4768613473	0.4615137909	0.9997687482	0.5207115959	0.0517800337
19900523	0.4838833887	0.4578255292	0.9997687482	0.5168159979	0.0502685363
19900524	0.4818933733	0.4552597819	0.9997687482	0.5088949487	0.0538028434
19900525	0.4854171462	0.4634381013	0.9997687482	0.5113621608	0.0636588602
19900528	0.4861849978	0.4608723541	0.9997687482	0.5152577587	0.0660572253
19900529	0.4892629094	0.458466966	0.9997687482	0.5190235034	0.0504572115
19900530	0.4987152928	0.4698524695	0.9997687482	0.5100636281	0.0503314197
19900531	0.5034001225	0.4626363053	0.9997687482	0.4991559538	0.0455758332
19900601	0.4971589977	0.4632777421	0.9997687482	0.4964290352	0.0469475588
